# Ossuary rating table — generated by tools/FetchCodexData, do not edit
# snapshot	v26
# data_through	2026-08-25T16:34:38.319000
# total_runs	1416903
kind	bracket	character	id	score	win_rate	pick_rate	picks	tier
cards	all	all	ABRASIVE	83	53.2	40.5	42947	A
cards	all	all	ACCELERANT	36	39.1	33.2	26993	C
cards	all	all	ACCURACY	49	43	41.6	80247	B
cards	all	all	ACROBATICS	55	44.6	45.3	97296	B
cards	all	all	ADAPTIVE_STRIKE	40	40.3	21.2	20265	C
cards	all	all	ADRENALINE	83	53	64.6	51852	A
cards	all	all	AFTERIMAGE	80	52.3	55.3	38304	A
cards	all	all	AFTERLIFE	34	38.2	17.4	58414	C
cards	all	all	AGGRESSION	68	48.7	28.9	26291	A
cards	all	all	ALCHEMIZE	100	58.3	4.1	10010	S
cards	all	all	ALIGNMENT	45	41.5	32.1	43488	B
cards	all	all	ALL_FOR_ONE	80	52.2	32.1	35582	A
cards	all	all	ANGER	19	33.9	16.8	75642	D
cards	all	all	ANOINTED	100	67.5	1.6	5296	S
cards	all	all	ANTICIPATE	34	38.3	12.1	68580	C
cards	all	all	ARMAMENTS	1	28.3	22.3	63271	F
cards	all	all	ARSENAL	52	43.9	31.1	14960	B
cards	all	all	ASHEN_STRIKE	41	40.4	20.7	36684	C
cards	all	all	ASSASSINATE	81	52.6	32.8	39104	A
cards	all	all	ASTRAL_PULSE	16	33	14.5	69811	D
cards	all	all	AUTOMATION	75	50.6	14.4	22571	A
cards	all	all	BACKFLIP	52	43.8	30.1	146541	B
cards	all	all	BACKSTAB	42	40.9	27.8	63331	C
cards	all	all	BALL_LIGHTNING	10	31.1	20.3	85806	F
cards	all	all	BANSHEES_CRY	88	54.6	22.7	14739	A
cards	all	all	BARRAGE	7	30.4	11.3	35342	F
cards	all	all	BARRICADE	42	40.7	36.8	21793	C
cards	all	all	BASH	0	24.1	100	317270	F
cards	all	all	BATTLE_TRANCE	47	42.2	40.5	74720	B
cards	all	all	BEACON_OF_HOPE	100	64.2	18.4	15009	S
cards	all	all	BEAM_CELL	22	34.7	21.1	78190	D
cards	all	all	BEAT_DOWN	100	59.9	1.9	5484	S
cards	all	all	BEAT_INTO_SHAPE	56	45	26.2	22252	B
cards	all	all	BEGONE	46	42.1	18.7	66780	B
cards	all	all	BELIEVE_IN_YOU	78	51.5	25.8	39354	A
cards	all	all	BIASED_COGNITION	93	66.2	25	65	S
cards	all	all	BIG_BANG	82	52.7	67.8	44640	A
cards	all	all	BLACK_HOLE	46	41.9	30.2	62311	B
cards	all	all	BLADE_DANCE	45	41.8	36	146152	B
cards	all	all	BLADE_OF_INK	84	53.5	41.5	29882	A
cards	all	all	BLADE_SYMPHONY	84	53.4	38.1	3971	A
cards	all	all	BLAZE	80	52.3	23.8	3135	A
cards	all	all	BLIGHT_STRIKE	20	34.1	14.3	57324	D
cards	all	all	BLOODLETTING	31	37.5	33.3	148535	C
cards	all	all	BLOOD_WALL	31	37.3	19.3	80347	C
cards	all	all	BLUDGEON	20	34	19.7	31223	D
cards	all	all	BLUR	56	45	35.3	67966	B
cards	all	all	BODYGUARD	0	26.6	91.3	298547	F
cards	all	all	BODY_SLAM	25	35.8	15.4	41731	D
cards	all	all	BOLAS	98	57.5	2.8	10676	S
cards	all	all	BOMBARDMENT	63	47.2	29.7	23036	B
cards	all	all	BONE_SHARDS	26	36.1	15.7	24979	D
cards	all	all	BOOST_AWAY	34	38.4	19.9	87987	C
cards	all	all	BOOT_SEQUENCE	40	40.1	37.7	63462	C
cards	all	all	BORROWED_TIME	32	37.7	34	34197	C
cards	all	all	BOUNCING_FLASK	31	37.4	22	34886	C
cards	all	all	BRAND	61	46.5	32.5	31848	B
cards	all	all	BREAK	9	30.7	25	12499	F
cards	all	all	BREAKTHROUGH	13	32	13.8	71705	D
cards	all	all	BUBBLE_BUBBLE	40	40.2	25	39911	C
cards	all	all	BUFFER	55	44.5	31.2	20868	B
cards	all	all	BULK_UP	31	37.5	20.4	28973	C
cards	all	all	BULLET_TIME	55	44.6	26.8	27779	B
cards	all	all	BULLY	45	41.6	32.9	51183	B
cards	all	all	BULWARK	40	40.2	46	50963	C
cards	all	all	BUNDLE_OF_JOY	76	50.8	20	20314	A
cards	all	all	BURNING_PACT	41	40.6	29.6	50849	C
cards	all	all	BURST	61	46.6	36.3	32468	B
cards	all	all	BURY	38	39.5	10.2	15459	C
cards	all	all	CACOPHONY	91	55.7	45.4	2401	S
cards	all	all	CALAMITY	100	59.7	2.3	4899	S
cards	all	all	CALCIFY	35	38.5	19.4	28175	C
cards	all	all	CALCULATED_GAMBLE	63	47.1	39.3	67917	B
cards	all	all	CALL_OF_THE_VOID	65	47.8	36.2	23923	B
cards	all	all	CAPACITOR	26	36.1	42.7	74154	D
cards	all	all	CAPTURE_SPIRIT	40	40.2	34.8	46352	C
cards	all	all	CASCADE	60	46.3	27.7	21741	B
cards	all	all	CATASTROPHE	56	45	5.3	8399	B
cards	all	all	CELESTIAL_MIGHT	15	32.5	6	23945	D
cards	all	all	CHAOS	12	31.7	19.5	22000	F
cards	all	all	CHARGE	58	45.4	31.2	47585	B
cards	all	all	CHARGE_BATTERY	23	35.2	33.1	137271	D
cards	all	all	CHILD_OF_THE_STARS	46	42	34.5	63321	B
cards	all	all	CHILL	37	39.1	32.5	41358	C
cards	all	all	CINDER	6	29.8	4.9	22412	F
cards	all	all	CLAW	14	32.3	30.6	81796	D
cards	all	all	CLEANSE	54	44.4	21.2	33369	B
cards	all	all	CLOAK_AND_DAGGER	36	39	30.9	120796	C
cards	all	all	CLOAK_OF_STARS	36	39	21.7	94740	C
cards	all	all	COLD_SNAP	19	34	17.2	77925	D
cards	all	all	COLLISION_COURSE	34	38.5	9.8	45599	C
cards	all	all	COLOSSUS	56	44.9	44.7	78186	B
cards	all	all	COMET	73	50.1	30.9	28972	A
cards	all	all	COMPACT	33	38.1	34.4	48340	C
cards	all	all	COMPILE_DRIVER	44	41.2	10	44750	C
cards	all	all	CONCOCT	91	55.5	35.4	6128	S
cards	all	all	CONFLAGRATION	53	44.1	29.7	30743	B
cards	all	all	CONQUEROR	49	42.8	31.7	49019	B
cards	all	all	CONSTELLATION	87	54.3	29	4649	A
cards	all	all	CONSUMING_SHADOW	45	41.6	17.6	16717	B
cards	all	all	CONVERGENCE	51	43.3	39.4	54589	B
cards	all	all	COOLANT	61	46.5	22.6	21125	B
cards	all	all	COOLHEADED	21	34.4	26.4	94282	D
cards	all	all	COORDINATE	66	48.1	5.9	10670	B
cards	all	all	CORROSIVE_WAVE	65	47.6	26	29178	B
cards	all	all	CORRUPTION	73	56.6	0	53	A
cards	all	all	COSMIC_INDIFFERENCE	48	42.5	26.3	105319	B
cards	all	all	COUNTDOWN	37	39.3	31.4	51466	C
cards	all	all	CRASH_LANDING	64	47.4	15.2	17055	B
cards	all	all	CREATIVE_AI	49	42.8	45.7	27217	B
cards	all	all	CRESCENT_SPEAR	26	36	13.9	51954	D
cards	all	all	CRIMSON_MANTLE	76	51.1	40.9	34409	A
cards	all	all	CRUELTY	37	39.2	47.7	34228	C
cards	all	all	CRUSH_UNDER	18	33.4	15	57617	D
cards	all	all	DAGGER_SPRAY	14	32.3	10.6	60862	D
cards	all	all	DAGGER_THROW	35	38.7	19.6	110098	C
cards	all	all	DANSE_MACABRE	54	44.4	13.2	26619	B
cards	all	all	DARKNESS	10	31	23.9	26308	F
cards	all	all	DARK_EMBRACE	58	45.6	20.4	15436	B
cards	all	all	DARK_SHACKLES	92	55.9	14.9	29955	S
cards	all	all	DASH	32	37.8	15.8	35698	C
cards	all	all	DEADLY_POISON	25	35.7	18.1	80605	D
cards	all	all	DEATHBRINGER	42	40.8	37.7	54598	C
cards	all	all	DEATHS_DOOR	45	41.7	26.2	42162	B
cards	all	all	DEATH_MARCH	37	39.2	12.6	19349	C
cards	all	all	DEBILITATE	67	48.3	35.1	45654	A
cards	all	all	DECISIONS_DECISIONS	79	51.8	41.2	34924	A
cards	all	all	DEFEND_DEFECT	0	27.1	84.2	349942	F
cards	all	all	DEFEND_IRONCLAD	1	28.4	11.1	428680	F
cards	all	all	DEFEND_NECROBINDER	4	29.4	73.1	361388	F
cards	all	all	DEFEND_REGENT	10	31.1	34.8	355020	F
cards	all	all	DEFEND_SILENT	10	31.2	0	441662	F
cards	all	all	DEFILE	22	34.9	9.5	42797	D
cards	all	all	DEFLECT	40	40.1	19	97162	C
cards	all	all	DEFRAGMENT	45	41.5	53.4	28526	B
cards	all	all	DEFY	43	41.2	30.4	122661	C
cards	all	all	DELAY	31	37.4	29.4	34236	C
cards	all	all	DEMESNE	59	45.8	56.9	25735	B
cards	all	all	DEMONIC_SHIELD	65	47.7	23.1	23064	B
cards	all	all	DEMON_FORM	45	41.6	37.7	31437	B
cards	all	all	DEVASTATE	25	35.8	15.1	24932	D
cards	all	all	DEVOUR_LIFE	48	42.5	31.6	21574	B
cards	all	all	DIRGE	35	38.7	36.7	36556	C
cards	all	all	DISCOVERY	57	45.3	14	17882	B
cards	all	all	DISMANTLE	34	38.3	26.8	50328	C
cards	all	all	DODGE_AND_ROLL	37	39.2	12.3	59447	C
cards	all	all	DOMINATE	54	44.2	50.5	64925	B
cards	all	all	DOUBLE_ENERGY	24	35.3	32.4	36617	D
cards	all	all	DRAIN_POWER	18	33.4	13.9	52724	D
cards	all	all	DRAMATIC_ENTRANCE	48	42.5	10.4	24086	B
cards	all	all	DREDGE	59	45.9	21.9	28535	B
cards	all	all	DRUM_OF_BATTLE	58	45.5	13.3	25802	B
cards	all	all	DUALCAST	0	22.5	50	264512	F
cards	all	all	DYING_STAR	75	50.7	37.2	32938	A
cards	all	all	ECHOING_SLASH	41	40.6	15.2	25767	C
cards	all	all	ECHO_FORM	72	49.8	65.4	46043	A
cards	all	all	EIDOLON	50	43.2	5.4	7283	B
cards	all	all	END_OF_DAYS	52	43.9	35.8	26967	B
cards	all	all	ENERGY_SURGE	60	46.2	57.5	43934	B
cards	all	all	ENFEEBLING_TOUCH	61	46.4	48.8	63001	B
cards	all	all	ENTROPY	92	55.9	3.4	9258	S
cards	all	all	ENVENOM	51	43.4	37.7	31595	B
cards	all	all	EQUILIBRIUM	74	50.5	6.5	16963	A
cards	all	all	ERADICATE	66	47.9	22.5	18349	B
cards	all	all	ESCAPE_PLAN	67	48.3	39.5	79288	A
cards	all	all	ETERNAL_ARMOR	100	59.3	3	8382	S
cards	all	all	EVIL_EYE	43	41.1	22.1	44705	C
cards	all	all	EXPECT_A_FIGHT	22	34.7	22.4	27471	D
cards	all	all	EXPERTISE	60	46.2	13.2	27256	B
cards	all	all	EXPOSE	69	49	45.1	92863	A
